id;cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;segmento_b3;nm_segmento_b3;cd_acao;tx_cnpj;vl_cnpj;created_at;updated_at
1;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;"";CSAN3;50.746.577/0001-15;50746577000115;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
2;DMMO;DOMMO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;"";"";DMMO11, DMMO3;08.926.302/0001-05;8926302000105;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
3;ENAT;ENAUTA PART;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;"";ENAT3;11.669.021/0001-10;11669021000110;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
4;RPMG;PET MANGUINH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;"";"";RPMG3;33.412.081/0001-96;33412081000196;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
5;PETR;PETROBRAS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;N2;"";PETR4, PETR3;33.000.167/0001-01;33000167000101;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
6;BRDT;PETROBRAS BR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;"";BRDT3;34.274.233/0001-02;34274233000102;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
7;PRIO;PETRORIO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;"";PRIO3;10.629.105/0001-68;10629105000168;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
8;UGPA;ULTRAPAR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;"";UGPA3;33.256.439/0001-39;33256439000139;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
9;LUPA;LUPATECH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;"";LUPA3;89.463.822/0001-12;89463822000112;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
10;OSXB;OSX BRASIL;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;"";OSXB3;09.112.685/0001-32;9112685000132;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
11;BRAP;BRADESPAR;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;N1;"";BRAP4, BRAP3;03.847.461/0001-92;3847461000192;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
12;LTEL;LITEL;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;MB;"";LTEL3B;00.743.065/0001-27;743065000127;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
13;LTLA;LITELA;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;MB;"";LTLA3B;05.495.546/0001-84;5495546000184;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
14;MMXM;MMX MINER;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;"";MMXM3;02.762.115/0001-49;2762115000149;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
15;VALE;VALE;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;"";VALE3;33.592.510/0001-54;33592510000154;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
16;FESA;FERBASA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;"";FESA4, FESA3;15.141.799/0001-03;15141799000103;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
17;GGBR;GERDAU;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;"";GGBR3, GGBR4;33.611.500/0001-19;33611500000119;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
18;GOAU;GERDAU MET;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;"";GOAU3, GOAU4;92.690.783/0001-09;92690783000109;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
19;CSNA;SID NACIONAL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;"";"";CSNA3;33.042.730/0001-04;33042730000104;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
20;USIM;USIMINAS;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;"";USIM6, USIM5, USIM3;60.894.730/0001-05;60894730000105;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
21;MGEL;MANGELS INDL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;"";"";MGEL3, MGEL4;61.065.298/0001-02;61065298000102;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
22;PATI;PANATLANTICA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;"";"";PATI3, PATI4;92.693.019/0001-89;92693019000189;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
23;TKNO;TEKNO;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;"";"";TKNO3, TKNO4;33.467.572/0001-34;33467572000134;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
24;PMAM;PARANAPANEMA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE COBRE;NM;"";PMAM3;60.398.369/0004-79;60398369000479;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
25;BRKM;BRASKEM;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;N1;"";BRKM6, BRKM5, BRKM3;42.150.391/0001-70;42150391000170;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
26;ELEK;ELEKEIROZ;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;"";"";ELEK3, ELEK4;13.788.120/0001-47;13788120000147;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
27;GPCP;GPC PART;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;"";"";GPCP3, GPCP4;02.193.750/0001-52;2193750000152;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
28;FHER;FER HERINGER;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;NM;"";FHER3;22.266.175/0001-88;22266175000188;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
29;NUTR;NUTRIPLANT;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;MA;"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
30;CRPG;CRISTAL;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;"";"";CRPG3, CRPG5, CRPG6;15.115.504/0001-24;15115504000124;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
31;UNIP;UNIPAR;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;"";"";UNIP3, UNIP5, UNIP6;33.958.695/0001-78;33958695000178;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
32;DTEX;DURATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;NM;"";DTEX3;97.837.181/0001-47;97837181000147;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
33;EUCA;EUCATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;N1;"";EUCA4, EUCA3;56.643.018/0001-66;56643018000166;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
34;RANI;IRANI;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;"";"";RANI3, RANI4;92.791.243/0001-03;92791243000103;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
35;KLBN;KLABIN S/A;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;N2;"";KLBN11, KLBN3, KLBN4;89.637.490/0001-45;89637490000145;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
36;MSPA;MELHOR SP;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;"";"";MSPA3, MSPA4;60.730.348/0001-66;60730348000166;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
37;STTZ;SANTHER;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
38;NEMO;SUZANO HOLD;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;"";"";NEMO3, NEMO5, NEMO6;60.651.809/0001-05;60651809000105;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
39;SUZB;SUZANO S.A.;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NM;"";SUZB3;16.404.287/0001-55;16404287000155;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
40;MTIG;METAL IGUACU;MATERIAIS BÁSICOS;EMBALAGENS;EMBALAGENS;"";"";MTIG3, MTIG4;80.227.184/0001-66;80227184000166;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
41;SNSY;SANSUY;MATERIAIS BÁSICOS;MATERIAIS DIVERSOS;MATERIAIS DIVERSOS;"";"";SNSY3, SNSY5, SNSY6;14.807.945/0001-24;14807945000124;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
42;ETER;ETERNIT;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NM;"";ETER3;61.092.037/0001-81;61092037000181;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
43;HAGA;HAGA S/A;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;"";"";HAGA3, HAGA4;30.540.991/0001-66;30540991000166;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
44;PTBL;PORTOBELLO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NM;"";PTBL3;83.475.913/0001-91;83475913000191;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
45;AZEV;AZEVEDO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;CONSTRUÇÃO PESADA;"";"";AZEV3, AZEV4;61.351.532/0001-68;61351532000168;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
46;SOND;SONDOTECNICA;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;"";"";SOND3, SOND5, SOND6;33.386.210/0001-19;33386210000119;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
47;TCNO;TECNOSOLO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;"";"";TCNO3, TCNO4;33.111.246/0001-90;33111246000190;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
48;MILS;MILLS;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;SERVIÇOS DIVERSOS;NM;"";MILS3;27.093.558/0001-15;27093558000115;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
49;EMBR;EMBRAER;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL AERONÁUTICO E DE DEFESA;NM;"";EMBR3;07.689.002/0001-89;7689002000189;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
50;FRAS;FRAS-LE;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N1;"";FRAS3;88.610.126/0001-29;88610126000129;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
51;POMO;MARCOPOLO;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N2;"";POMO4, POMO3;88.611.835/0001-29;88611835000129;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
52;RAPT;RANDON PART;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N1;"";RAPT4, RAPT3;89.086.144/0001-16;89086144000116;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
53;RCSL;RECRUSUL;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;"";"";RCSL3, RCSL4;91.333.666/0001-17;91333666000117;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
54;RSUL;RIOSULENSE;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;"";"";RSUL3, RSUL4;85.778.074/0001-06;85778074000106;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
55;TUPY;TUPY;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;NM;"";TUPY3;84.683.374/0001-49;84683374000149;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
56;MWET;WETZEL S/A;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;"";"";MWET3, MWET4;84.683.671/0001-94;84683671000194;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
57;SHUL;SCHULZ;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;"";"";SHUL4, SHUL3;84.693.183/0001-68;84693183000168;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
58;WEGE;WEG;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;NM;"";WEGE3;84.429.695/0001-11;84429695000111;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
59;EALT;ACO ALTONA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;"";"";EALT3, EALT4;82.643.537/0001-34;82643537000134;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
60;BDLL;BARDELLA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;"";"";BDLL4, BDLL3;60.851.615/0001-53;60851615000153;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
61;ROMI;INDS ROMI;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;"";ROMI3;56.720.428/0001-63;56720428000163;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
62;INEP;INEPAR;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;"";"";INEP4, INEP3;76.627.504/0001-06;76627504000106;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
63;KEPL;KEPLER WEBER;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;"";"";KEPL3;91.983.056/0001-69;91983056000169;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
64;FRIO;METALFRIO;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;"";FRIO3;04.821.041/0001-08;4821041000108;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
65;NORD;NORDON MET;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;"";"";NORD3;60.884.319/0001-59;60884319000159;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
66;PTCA;PRATICA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;M2;"";PTCA11, PTCA3;08.574.411/0001-00;8574411000100;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
67;MTSA;METISA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS;"";"";MTSA3, MTSA4;86.375.425/0001-09;86375425000109;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
68;STTR;STARA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS;MA;"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
69;TASA;TAURUS ARMAS;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;ARMAS E MUNIÇÕES;N2;"";TASA13, TASA15, TASA17, TASA3, TASA4;92.781.335/0001-02;92781335000102;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
70;AZUL;AZUL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE AÉREO;N2;"";AZUL4;09.305.994/0001-29;9305994000129;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
71;GOLL;GOL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE AÉREO;N2;"";GOLL11, GOLL4;06.164.253/0001-87;6164253000187;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
72;FRRN;ALL NORTE;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;"";FRRN3B, FRRN5B, FRRN6B;24.962.466/0001-36;24962466000136;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
73;GASC;ALL PAULISTA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
74;RLOG;COSAN LOG;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NM;"";RLOG3;17.346.997/0001-39;17346997000139;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
75;VSPT;FER C ATLANT;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;"";"";VSPT3, VSPT4;00.924.429/0001-75;924429000175;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
76;MRSA;MRS LOGIST;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;"";MRSA3B, MRSA5B, MRSA6B;01.417.222/0001-77;1417222000177;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
77;RAIL;RUMO S.A.;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NM;"";RAIL3;02.387.241/0001-60;2387241000160;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
78;LOGN;LOG-IN;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE HIDROVIÁRIO;NM;"";LOGN3;42.278.291/0001-24;42278291000124;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
79;LUXM;TREVISA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE HIDROVIÁRIO;"";"";LUXM3, LUXM4;92.660.570/0001-26;92660570000126;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
80;JSLG;JSL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE RODOVIÁRIO;NM;"";JSLG3;52.548.435/0001-79;52548435000179;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
81;TGMA;TEGMA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE RODOVIÁRIO;NM;"";TGMA3;02.351.144/0001-18;2351144000118;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
82;ANHB;AUTOBAN;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
83;CCRO;CCR SA;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;"";CCRO3;02.846.056/0001-97;2846056000197;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
84;RPTA;CONC RAPOSO;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
85;CRTE;CONC RIO TER;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;MB;"";CRTE3B, CRTE5B;00.938.574/0001-05;938574000105;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
86;ERDV;ECON;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
87;ECNT;ECONORTE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
88;ASCP;ECOPISTAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
89;ECOR;ECORODOVIAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;"";ECOR3;04.149.454/0001-80;4149454000180;2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
90;ECOV;ECOVIAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
91;COLN;ROD COLINAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
92;RDVT;ROD TIETE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
93;CRBD;RT BANDEIRAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
94;TRIA;TRIANGULOSOL;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;"";"";"";"";"";2021-10-22T01:00:01.000000Z;2021-10-22T01:00:01.000000Z
